DAMAGE,STRUCTURETYPE,dnbr,dndvi,Slope,Wind,NLCD,Longitude,Latitude,Damage_Code
Destroyed (>50%),Single Family Residence Multi Story,0.1300000,0.1400000,8.7799997,3.4200001,2,-118.647784850432302,34.041650458146464,1
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,0.0500000,15.2100000,3.4200001,2,-118.647338835995413,34.041046629811625,1
Destroyed (>50%),Single Family Residence Multi Story,0.0800000,0.1100000,19.8700008,3.0300000,2,-118.645403128254884,34.040260124805279,1
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,0.1100000,21.6000004,3.0300000,2,-118.644953903239170,34.040293276683030,1
No Damage,Multi Family Residence Multi Story,-0.0500000,-0.0900000,19.3799992,3.1400001,3,-118.657821541150469,34.039376287065757,2
No Damage,Commercial Building Single Story,-0.0100000,-0.0800000,14.6599998,3.0699999,3,-118.658904680312745,34.039448200486191,2
No Damage,Commercial Building Multi Story,0.0200000,-0.0200000,14.6599998,3.0699999,3,-118.658560947155777,34.039492628712402,2
Destroyed (>50%),Single Family Residence Multi Story,0.0500000,-0.0000000,8.2200003,3.0699999,2,-118.659353963718942,34.038993875799747,1
Affected (1-9%),Multi Family Residence Multi Story,0.0400000,-0.0200000,19.3799992,3.1400001,2,-118.657272470187550,34.039383892515595,1
No Damage,Multi Family Residence Multi Story,-0.0200000,-0.0900000,19.3799992,3.1400001,3,-118.658010746112240,34.039454256851919,2
No Damage,Utility Misc Structure,0.0200000,-0.0300000,14.6599998,3.1400001,3,-118.658209545081263,34.039468706225236,2
Destroyed (>50%),Utility Misc Structure,0.1200000,0.2000000,18.0499992,3.0300000,2,-118.644553230367919,34.039542473099125,1
Destroyed (>50%),Single Family Residence Multi Story,0.1600000,0.2600000,12.7399998,3.4200001,2,-118.647339657055554,34.041761498242693,1
Affected (1-9%),Single Family Residence Multi Story,0.0300000,0.1300000,18.0200005,2.9800000,2,-118.646113506100079,34.040084773815344,1
No Damage,Single Family Residence Single Story,0.1500000,0.1600000,22.6900005,2.9800000,2,-118.646167452627822,34.040237561035553,2
Destroyed (>50%),Single Family Residence Multi Story,0.1400000,0.1700000,20.8600006,3.0300000,2,-118.645891615936705,34.040225143962381,1
No Damage,Multi Family Residence Multi Story,0.0100000,-0.0600000,14.6300001,3.0699999,3,-118.659238567934182,34.039609590276207,2
Destroyed (>50%),Utility Misc Structure,0.1300000,0.1800000,11.7399998,3.5999999,2,-118.618757286822600,34.041326341685746,1
Destroyed (>50%),Single Family Residence Single Story,0.0800000,0.0600000,16.5699997,3.5999999,2,-118.618613639920412,34.041164811497900,1
Destroyed (>50%),Single Family Residence Single Story,0.1600000,0.1300000,11.1999998,3.5999999,2,-118.618706465533720,34.041985725502919,1
Destroyed (>50%),Mobile Home Double Wide,0.1400000,0.1000000,11.7399998,3.5999999,2,-118.618906633535190,34.041268235784031,1
Destroyed (>50%),Utility Misc Structure,0.1800000,0.1800000,11.3800001,3.5999999,2,-118.618485490753599,34.041431431683307,1
Destroyed (>50%),Utility Misc Structure,0.2400000,0.2200000,9.8800001,3.5999999,2,-118.618524603401056,34.041796977180127,1
No Damage,Multi Family Residence Multi Story,0.1800000,0.1500000,4.5700002,2.6700001,2,-118.637267482883644,34.041915385597797,2
Destroyed (>50%),Single Family Residence Single Story,0.2300000,0.2200000,6.8699999,2.6700001,2,-118.637595946477347,34.043076770382875,1
Destroyed (>50%),Single Family Residence Single Story,0.1000000,0.0500000,5.9000001,2.5899999,2,-118.637407725170874,34.044026565225629,1
Destroyed (>50%),Single Family Residence Single Story,0.1700000,0.2400000,20.6499996,2.5899999,2,-118.637597395459920,34.044508159639285,1
Destroyed (>50%),Utility Misc Structure,0.2200000,0.1600000,14.9700003,2.5899999,2,-118.637856702251554,34.044558231081332,1
Affected (1-9%),Single Family Residence Multi Story,0.1600000,0.1400000,10.2100000,2.6700001,2,-118.637048576923647,34.042119632881679,1
Destroyed (>50%),Single Family Residence Single Story,0.3000000,0.3900000,5.3299999,2.5899999,2,-118.637735361416219,34.044214955764787,1
Destroyed (>50%),Single Family Residence Single Story,0.3200000,0.4200000,5.3299999,2.5899999,2,-118.637879774581322,34.044297375284522,1
Destroyed (>50%),Commercial Building Single Story,0.0400000,-0.0200000,2.3199999,2.1500001,2,-118.639135048918320,34.044967087575905,1
No Damage,Commercial Building Single Story,0.1400000,0.1300000,7.4600000,2.1500001,2,-118.639172805109666,34.045695184056385,2
Destroyed (>50%),Single Family Residence Single Story,0.0900000,0.0800000,19.7700005,3.0699999,2,-118.658607684703355,34.040061895123863,1
No Damage,Single Family Residence Multi Story,-0.0000000,-0.0200000,12.9499998,2.6700001,2,-118.637228069300576,34.042797178913411,2
Destroyed (>50%),Single Family Residence Single Story,0.1800000,0.1700000,11.6999998,2.5899999,2,-118.637532028650014,34.044075913443329,1
Destroyed (>50%),Single Family Residence Single Story,0.2600000,0.2900000,5.5799999,2.1500001,2,-118.638839681954579,34.044523266153803,1
Affected (1-9%),School,-0.0000000,-0.0100000,3.1099999,2.0699999,2,-118.639232035527897,34.046430859750565,1
Destroyed (>50%),Single Family Residence Multi Story,0.0500000,0.0800000,22.9300003,3.0300000,2,-118.644803812721477,34.040268338337491,1
Destroyed (>50%),Single Family Residence Multi Story,0.0800000,0.0900000,22.9300003,3.0300000,2,-118.644646827634034,34.040266488543580,1
Destroyed (>50%),Single Family Residence Multi Story,0.0200000,0.0200000,23.8299999,3.0300000,2,-118.644464672650557,34.040236628322148,1
Destroyed (>50%),Single Family Residence Multi Story,0.1300000,0.1700000,23.8299999,3.0300000,2,-118.644313203218971,34.040238278621835,1
No Damage,Single Family Residence Multi Story,0.0800000,0.0100000,18.1000004,3.0300000,2,-118.644228869380143,34.039948545948199,2
No Damage,Single Family Residence Multi Story,0.0300000,0.0600000,24.2999992,3.0300000,2,-118.643881111770639,34.040146514615330,2
No Damage,Single Family Residence Multi Story,0.0200000,-0.0200000,17.5200005,3.0300000,2,-118.644698139403019,34.039984200574736,2
No Damage,Single Family Residence Multi Story,0.0600000,0.0200000,17.6599998,3.0300000,2,-118.644416796937492,34.039975509863247,2
Affected (1-9%),Single Family Residence Multi Story,0.1200000,0.1400000,16.7700005,3.0300000,2,-118.643758540243411,34.039927554240684,1
Destroyed (>50%),Single Family Residence Multi Story,0.0800000,0.1200000,17.4400005,3.0300000,2,-118.643915890945223,34.039698344554978,1
Destroyed (>50%),Single Family Residence Multi Story,0.1400000,0.1600000,19.5699997,3.0300000,2,-118.643574215828579,34.039551860604227,1
Destroyed (>50%),Utility Misc Structure,0.0200000,-0.0400000,21.7000008,3.3699999,2,-118.643328785313173,34.040548657960471,1
Destroyed (>50%),Single Family Residence Single Story,0.1300000,0.1100000,17.8199997,3.5999999,2,-118.618863585368501,34.042425588273844,1
